objectid,title,date,start_year,end_year,date_type
ihl_artist_319,Kotō 湖東,active c. 1900,1900,1900,active
ihl_artist_320,Kumazawa Kitarō 熊澤喜太郎,active c. 1880-1905,1880,1905,active
ihl_artist_321,Kuroki Hannosuke 黒木半之助,active late Meiji period,,,active
ihl_artist_322,Kūrosaki Shusai 黒崎修齋,1877-?,1877,,birth
ihl_artist_323,Maeda Seison 前田青邨,1885-1977,1885,1977,birth-death
ihl_artist_324,Masuda Gorō 増田五良,1895-?,1895,,birth
ihl_artist_325,Masuda Gyokujō 益田玉城,1881-1955,1881,1955,birth-death
ihl_artist_326,Minagawa Taizō 皆川泰蔵,1917-2005,1917,2005,birth-death
ihl_artist_327,Mizuta Chikuho 水田竹圃,1883-1958,1883,1958,birth-death
ihl_artist_328,Morikawa Seiha 森川青玻,active Taishō era,,,active
ihl_artist_329,Morita Kanjirō 森田寬次郎,active c. 1927,1927,1927,active
ihl_artist_330,Morita Tsunetomo 森田恒友,1881-1933,1881,1933,birth-death
ihl_artist_331,Nakamura Gakuryō 中村岳陵,1890-1969,1890,1969,birth-death
ihl_artist_332,Nishida Seiha 西田青坡,1895-1979,1895,1979,birth-death
ihl_artist_333,Nonoguchi Shigeru 野々口重,1912-?,1912,,birth
ihl_artist_334,Ōhno Takashi 大野隆司,b. 1951,1951,,birth
ihl_artist_335,Ōta Saburō 大田三郎,1884-1969,1884,1969,birth-death
ihl_artist_336,Paul Jacoulet ポールジャクレー,1896-1960,1896,1960,birth-death
ihl_artist_337,Sakai Hideo 酒井秀夫,1902-1981,1902,1981,birth-death
ihl_artist_338,Sakai Hōitsu 酒井抱一,1761-1829,1761,1829,birth-death
ihl_artist_339,Sekine Takejirō 関根竹二郎,active 1887-1896,1887,1896,active
ihl_artist_340,Shien 紫園,active 1930-1950s,1930,1950,active
ihl_artist_341,Shiizuka Shiyōka 椎塚蕉華,1884-1934,1884,1934,birth-death
ihl_artist_342,Shimomura Kanzan 下村観山,1873-1930,1873,1930,birth-death
ihl_artist_344,Sugiyama Yasushi 杉山寧,1909-1993,1909,1993,birth-death
